0.00 0.00

0.00 0.00

0.00 0.00

0.01 0.01

0.00 0.00

0.00 0.00

0.01 0.01

0.00 0.00

   ma    mb  gmab
  538     0   587
   22     2   133
  358     4   443
  511     5    50
  387     6   459
  183     8   541
  408    10   686
  529    11   567
  573    12    69
  517    13   354
  547    14   281
    4    15    75
  746    16    95
  197    19    19
  740    20    22
    9    24   266
  962    26   213
  178    27   335
   91    28   186
  100    29   315
   77    30    81
  496    31   707
  683    32   730
  375    33   320
  884    34   669
  356    38   242
  814    39    38
   41    40   195
  596    41    40
  149    42  1034
  698    43   500
  404    45   453
  533    46   854
  598    47   276
  106    50   409
    5    51   119
  224    54   198
  144    55    51
  464    56    56
  756    57   563
  527    59   472
  803    61   392
  111    62   886
  157    64   457
 1049    65   583
  896    66   485
  440    67   426
  724    69   723
  454    70   883
  620    71    57
  306    73   584
   85    74   512
  425    75     2
  906    76   859
   97    77   554
  110    79   268
  291    80   414
  146    81   659
  918    83   234
  679    84   192
  519    85   486
  681    86   580
   48    87   430
  462    88   264
  192    90   120
  875    91   994
  616    93   193
  289    95   418
  783    96   448
  711    99   447
  366   100   275
  521   101   930
  662   103   381
  623   104    45
 1064   105   240
  924   106   570
  844   107  1008
 1032   108   882
  541   109   316
 1053   110   174
  583   111   149
 1007   112    70
  498   113   177
  431   114   398
  801   115   197
  193   117   633
  822   118     4
  264   119   200
  275   120   728
  406   121   480
 1012   123    64
  631   124   277
 1111   126   253
  879   127   136
  214   128   401
  143   130   724
  757   133   184
  210   134   298
  142   135   126
   68   136   142
  667   138   588
  772   140   658
  720   145   214
  127   147   768
  732   148   305
  674   150   924
  170   151     6
    1   152   255
  246   154   111
  997   156   164
  977   157   362
  554   159  1018
  166   160   815
  329   161   446
  614   162   808
 1045   163   505
  764   164   346
  364   166   952
  189   167     8
 1116   169   949
  971   170   158
 1041   172   150
  728   173   342
  979   174   716
  488   177   805
  350   178   766
  766   180   183
  640   182     0
  241   183   649
  975   184   105
  635   185   710
  644   186   647
  399   187   456
   28   188   239
   12   190    65
   79   193    49
  174   194    47
  421   196   708
  116   197   204
 1069   198   206
  412   199     3
  769   200    39
  989   201   351
  917   202   779
  587   204   218
  549   206   483
  771   207   157
  753   208   102
  280   209   321
  632   210   152
  353   211   375
  159   212    80
  374   213    37
  465   216   250
  759   217   380
  758   218   467
  648   219   113
 1063   220   690
  561   221   121
  460   222   741
  890   223   818
  795   224  1023
  706   225  1087
  415   227   256
 1057   228   879
  738   229   221
  109   230   311
  556   232   577
   40   233   107
  257   234   463
  305   237   653
  615   238   307
  410   240    53
  586   241   405
  279   242   205
  223   243   189
  902   244   662
  652   245   411
  336   249   894
   42   250   167
  176   251  1104
  222   253   188
  551   256   437
  933   257    98
  691   261   824
   25   262   135
  560   264   243
   31   266   258
  102   268    12
  467   270   553
  388   273   326
  285   274    85
  671   275   132
  730   278   891
  319   279   424
  727   281   199
  634   282   224
  725   283   412
  624   285   991
  253   286   270
  553   288   548
  368   289   345
  331   290   764
  582   291  1026
 1060   293   784
  417   294   644
  507   296   299
  471   297   233
   96   298   181
  992   299   476
 1106   300   222
  303   305   386
 1039   307   438
  811   308   122
  479   309   931
  362   311   207
  448   312     5
  370   313   593
  398   314   609
  486   315   388
  405   316   322
  934   319   514
  435   320   774
  473   321    84
  776   322   394
  508   323   160
  668   325   178
  862   329   598
   30   330   589
  310   331   134
  416   332    48
  656   333   269
  419   334   215
 1004   337   230
  606   338    61
 1067   339   465
  821   340   551
  577   341   932
   26   343   408
  655   345   742
  546   346   385
 1081   348   792
  630   349    46
  980   350   756
   78   351   370
   98   352   336
   90   353    15
  572   354    23
  335   355   139
  326   356   348
  665   357   254
  559   358  1065
  813   359   378
  150   362   705
  228   363   648
  909   364   379
  832   365   608
  767   366    29
  504   367   531
  578   371   103
  603   372   807
  993   373   634
  274   375   211
  843   376   698
  407   377   331
  940   378   558
   10   380   597
  349   382   785
  883   383   445
  186   384   202
  403   385    91
  973   386   112
  863   387    42
   16   390   190
  745   391   361
  895   394   564
  970   395   115
  903   396   128
 1033   397   637
  641   398    66
