0.040 0.040
0.000 0.020
0.020 0.020
0.020 0.040
0.160 0.040 0.027 0.054
   ma    mb  gmab
    0    13    10
    1    13    43
    2    13    42
    3    13     9
    4    13    32
    5     1     4
    6    24    24
    7    26    45
    8    43     3
    9     4     1
   10    39    17
   11    13    20
   12    13    40
   13    13    11
   14    13     2
   15    43    41
   16    41    26
   17    13    39
   18    13    47
   19    13    14
   20    13    44
   21    45    49
   22    13    15
   23    13    33
   24    13    37
   25    13    18
   26    13    13
   27    13    25
   28    13     5
   29    13    34
   30    13    31
   31    11    27
   32    13    48
   33    13    21
   34    13     6
   35    13    28
   36    13    16
   37    13    23
   38    13     8
   39    13    30
   40    13    36
   41    13    22
   42    13    38
   43    13    12
   44    13    46
   45    13    29
   46    13     0
   47    13    35
   48    13     7
   49    13    19
