-1.00 -1.00

-1.00 -1.00

-1.00 -1.00

-1.00 -1.00

   ma    mb  gmab
    1   211    -1
    2   118    -1
    3  1063    -1
    5  1086    -1
    8  1052    -1
    9    94    -1
   12    67    -1
   13   291    -1
   14   392    -1
   16   528    -1
   19   736    -1
   20   683    -1
   21   514    -1
   22   133    -1
   23   926    -1
   26  1340    -1
   27   321    -1
   30  1675    -1
   31   769    -1
   33    47    -1
   36  1867    -1
   38     7    -1
   41  1206    -1
   42  1082    -1
   43  1742    -1
   44   326    -1
   46   429    -1
   48   983    -1
   51  1023    -1
   54   651    -1
   55  1084    -1
   56  1263    -1
   57   452    -1
   65  1277    -1
   67  1530    -1
   68  1885    -1
   69  1775    -1
   70  1207    -1
   74   139    -1
   81   351    -1
   83   225    -1
   84  1414    -1
   85  1417    -1
   87   341    -1
   88   464    -1
   89  1164    -1
   91   611    -1
   94   188    -1
   95   807    -1
   97  1421    -1
   99  1911    -1
  100  1645    -1
  102  1917    -1
  103   854    -1
  104  1060    -1
  105   292    -1
  106  1389    -1
  107  1521    -1
  111   185    -1
  112   287    -1
  113   238    -1
  114  1196    -1
  115  1914    -1
  116   804    -1
  118  1637    -1
  120   803    -1
  122   458    -1
  124    71    -1
  125  1849    -1
  127  1039    -1
  128  1040    -1
  129    63    -1
  131  1702    -1
  132  1424    -1
  134  1306    -1
  135   511    -1
  137  1019    -1
  139   247    -1
  140  1436    -1
  142  1345    -1
  143  1248    -1
  144  1589    -1
  145    33    -1
  146   234    -1
  147   943    -1
  150   243    -1
  151   653    -1
  153   195    -1
  156     8    -1
  159  1175    -1
  160  1812    -1
  162  1416    -1
  164   125    -1
  165   973    -1
  167   151    -1
  169   685    -1
  171   144    -1
  172   105    -1
  174    19    -1
  175   275    -1
  179   460    -1
  180  1475    -1
  182   751    -1
  183  1092    -1
  185  1304    -1
  187  1319    -1
  188   201    -1
  190   204    -1
  192  1343    -1
  199   324    -1
  201  1361    -1
  204   224    -1
  205   731    -1
  207   632    -1
  209  1514    -1
  210  1100    -1
  211   302    -1
  212   153    -1
  213   504    -1
  215    59    -1
  219   541    -1
  221  1076    -1
  222   175    -1
  223   997    -1
  224  1015    -1
  227   622    -1
  229    35    -1
  231  1461    -1
  232  1288    -1
  234  1216    -1
  235    90    -1
  236  1182    -1
  238   733    -1
  240  1383    -1
  241  1298    -1
  242  1644    -1
  243   396    -1
  244  1018    -1
  245  1676    -1
  247   381    -1
  248   273    -1
  250  1555    -1
  251  1367    -1
  252    91    -1
  254  1747    -1
  255  1650    -1
  258   918    -1
  259   497    -1
  260   858    -1
  261  1205    -1
  263  1192    -1
  266  1642    -1
  268   910    -1
  269   592    -1
  270  1875    -1
  274  1165    -1
  275   573    -1
  279  1550    -1
  282   343    -1
  283   345    -1
  284  1864    -1
  285  1160    -1
  288   840    -1
  290   634    -1
  291   535    -1
  296   407    -1
  303   419    -1
  310  1636    -1
  316   586    -1
  318  1301    -1
  320  1004    -1
  321  1431    -1
  322   382    -1
  324  1279    -1
  327  1441    -1
  329  1346    -1
  330   913    -1
  334   799    -1
  336   640    -1
  339   581    -1
  344  1130    -1
  349   619    -1
  354   702    -1
  355   197    -1
  357   995    -1
  358   569    -1
  359   191    -1
  362   588    -1
  363   515    -1
  364  1902    -1
  365    50    -1
  368    97    -1
  375   110    -1
  379   485    -1
  381   575    -1
  382    28    -1
  385  1127    -1
  386  1188    -1
  388   797    -1
  391  1152    -1
  392   157    -1
  394   517    -1
  395   500    -1
  398   387    -1
  400  1863    -1
  404   630    -1
  405  1757    -1
  406  1233    -1
  407   385    -1
  410   855    -1
  411  1401    -1
  413    24    -1
  417  1503    -1
  421  1510    -1
  434  1852    -1
  438   245    -1
  440   307    -1
  445   455    -1
  447  1823    -1
  449    45    -1
  450   274    -1
  454   114    -1
  455   141    -1
  457  1112    -1
  458  1217    -1
  459   738    -1
  461   338    -1
  462  1272    -1
  463   170    -1
  467  1260    -1
  470  1183    -1
  471   669    -1
  472   123    -1
  475  1873    -1
  476   358    -1
  479  1081    -1
  482   388    -1
  483   935    -1
  484   150    -1
  485    57    -1
  489   951    -1
  490   729    -1
  491  1545    -1
  492  1011    -1
  497   320    -1
  498  1137    -1
  506  1123    -1
  507  1176    -1
  508   684    -1
  515  1505    -1
  516   342    -1
  519   707    -1
  523  1478    -1
  525   332    -1
  526   466    -1
  527   562    -1
  528  1580    -1
  530   474    -1
  533  1739    -1
  535  1465    -1
  536  1402    -1
  541   404    -1
  542    64    -1
  543   368    -1
  544   397    -1
  545   414    -1
  546  1425    -1
  549  1611    -1
  551    12    -1
  552  1627    -1
  553  1868    -1
  554   724    -1
  556   434    -1
  557   587    -1
  558   589    -1
  561  1880    -1
  564    92    -1
  565   361    -1
  566   889    -1
  568   405    -1
  571   325    -1
  572    43    -1
  574  1221    -1
  575   508    -1
  576  1677    -1
  577   784    -1
  581   316    -1
  583  1370    -1
  584  1236    -1
  589   893    -1
  590  1572    -1
  595  1839    -1
  597   421    -1
  598  1500    -1
  600  1876    -1
  601  1071    -1
  602   681    -1
  605    13    -1
  607   432    -1
  608   919    -1
  612   524    -1
  613  1390    -1
  616   667    -1
  617   317    -1
  618  1177    -1
  620   196    -1
  621   270    -1
  623   386    -1
  624   290    -1
  626   440    -1
  628   253    -1
  629  1523    -1
  635  1124    -1
  638   220    -1
  640  1488    -1
  641  1171    -1
  644  1778    -1
  645  1651    -1
  646   547    -1
  650   293    -1
  651  1068    -1
  653   643    -1
  654  1779    -1
  656  1054    -1
  658  1464    -1
  659    39    -1
  660   700    -1
  662    11    -1
  664  1813    -1
  665   856    -1
  666   568    -1
  668  1874    -1
  669    58    -1
  672  1121    -1
  677   813    -1
  683   953    -1
  684  1608    -1
  685   297    -1
  690   308    -1
  693  1790    -1
  703     9    -1
  704   977    -1
  708  1744    -1
  715   310    -1
  716   882    -1
  717  1662    -1
  718   289    -1
  719  1548    -1
  724   584    -1
  727  1284    -1
  729  1419    -1
  730  1578    -1
  731   863    -1
  733  1844    -1
  739   980    -1
  740   424    -1
  742   184    -1
  743   857    -1
  744  1194    -1
  748     0    -1
  750   808    -1
  751   127    -1
  752   129    -1
  753   132    -1
  755    86    -1
  764  1049    -1
  765   819    -1
  773   527    -1
  774    25    -1
  780  1671    -1
  789    73    -1
  791   350    -1
  795   192    -1
  797  1172    -1
  798   506    -1
  801  1426    -1
  802   227    -1
  803  1413    -1
  810   319    -1
  812   423    -1
  816   941    -1
  817   902    -1
  818   477    -1
  819   400    -1
  827   779    -1
  828   591    -1
  832   978    -1
  833  1170    -1
  836  1526    -1
  837   492    -1
  842   859    -1
  844   982    -1
  847  1449    -1
  848   678    -1
  852  1051    -1
  853  1351    -1
  855   277    -1
  856  1166    -1
  859   476    -1
  860   226    -1
  864   374    -1
  865  1892    -1
  866   542    -1
  869   160    -1
  871   609    -1
  872   539    -1
  876  1599    -1
  877    95    -1
  893   933    -1
  894  1581    -1
  895  1749    -1
  896  1731    -1
  902   268    -1
  903   272    -1
  905  1646    -1
  906  1398    -1
  909  1592    -1
  910    56    -1
  914  1252    -1
  917   723    -1
  918  1178    -1
  921   553    -1
  922   401    -1
  923   489    -1
  925   659    -1
  926   682    -1
  929   378    -1
  931   741    -1
  936   430    -1
  988   696    -1
  990   373    -1
 1000   162    -1
 1002   329    -1
 1005  1119    -1
 1007   213    -1
 1008  1767    -1
 1012   174    -1
 1015   164    -1
 1019  1245    -1
 1024  1490    -1
 1025  1741    -1
 1026   649    -1
 1029  1513    -1
 1031  1238    -1
 1035  1265    -1
 1036  1733    -1
 1042   998    -1
 1043   600    -1
 1044   594    -1
 1046  1484    -1
 1048   475    -1
 1049  1253    -1
 1051  1882    -1
 1055   930    -1
 1057  1846    -1
 1060   709    -1
 1063  1097    -1
 1064  1193    -1
 1067  1109    -1
 1072  1509    -1
 1075  1598    -1
 1077   168    -1
 1078   126    -1
 1082   577    -1
 1083  1547    -1
 1086   595    -1
 1087   276    -1
 1088   832    -1
 1089  1184    -1
 1091  1258    -1
 1092   737    -1
 1094   143    -1
 1096   215    -1
 1098  1000    -1
 1099  1001    -1
 1100   800    -1
 1106  1352    -1
 1109    20    -1
 1114   864    -1
 1120  1297    -1
 1121   647    -1
 1126   251    -1
 1129   322    -1
 1132   457    -1
 1139    31    -1
 1140  1154    -1
 1142  1189    -1
 1143   300    -1
 1144  1350    -1
 1145  1228    -1
 1146   898    -1
 1147  1307    -1
 1148   124    -1
 1149  1065    -1
 1152  1482    -1
 1154   844    -1
 1155     5    -1
 1157  1267    -1
 1158  1493    -1
 1159   420    -1
 1160  1630    -1
 1167  1785    -1
 1168   152    -1
 1169   128    -1
 1170  1021    -1
 1175  1600    -1
 1177   296    -1
 1181   523    -1
 1183  1661    -1
 1189   671    -1
 1191  1149    -1
 1197  1150    -1
 1198   493    -1
 1200  1427    -1
 1205  1678    -1
 1209   794    -1
 1214  1234    -1
 1221   981    -1
 1226  1734    -1
 1229  1403    -1
 1233  1827    -1
 1234   122    -1
 1244   706    -1
 1246  1103    -1
 1248  1660    -1
 1252   931    -1
 1257   471    -1
 1258  1037    -1
 1259   391    -1
 1261   613    -1
 1265   793    -1
 1268  1573    -1
 1270   949    -1
 1274  1185    -1
 1275   147    -1
 1278   182    -1
 1279   193    -1
 1280   550    -1
 1281  1878    -1
 1289  1139    -1
 1291  1118    -1
 1297  1050    -1
 1299    17    -1
 1303   580    -1
 1304  1672    -1
 1306   710    -1
 1308  1679    -1
 1319  1418    -1
 1320    10    -1
 1321  1365    -1
 1324  1420    -1
 1327  1375    -1
 1328   636    -1
 1330   837    -1
 1332  1761    -1
 1335   785    -1
 1337  1538    -1
 1340   615    -1
 1345  1586    -1
 1353   705    -1
 1354   278    -1
 1355   254    -1
 1357   398    -1
 1359   399    -1
 1361    36    -1
 1362   865    -1
 1366   838    -1
 1370    89    -1
 1373   403    -1
 1379  1918    -1
 1380  1202    -1
 1388  1275    -1
 1389  1865    -1
 1390  1631    -1
 1397   379    -1
 1400  1394    -1
 1406  1643    -1
 1409  1881    -1
 1410  1379    -1
 1414   180    -1
 1422  1820    -1
 1423  1302    -1
 1428   947    -1
 1429  1017    -1
 1436  1680    -1
 1437  1694    -1
 1438   572    -1
 1441   422    -1
 1443  1073    -1
 1446     3    -1
 1448    98    -1
 1451   826    -1
 1456   436    -1
 1457   109    -1
 1458  1061    -1
 1459  1634    -1
 1463  1311    -1
 1466   962    -1
 1469    41    -1
 1476  1789    -1
 1482  1472    -1
 1487  1203    -1
 1494   939    -1
 1499   496    -1
 1500  1273    -1
 1506   236    -1
 1525   631    -1
 1536   740    -1
 1551   140    -1
 1553  1162    -1
 1562   880    -1
 1572  1085    -1
 1573  1699    -1
 1574   356    -1
 1577   488    -1
 1580   735    -1
 1585  1711    -1
 1587  1654    -1
 1591   265    -1
 1597  1032    -1
 1602   463    -1
 1609    15    -1
 1610   642    -1
 1613  1707    -1
 1614  1560    -1
 1617  1562    -1
 1621    74    -1
 1622  1877    -1
 1624   250    -1
 1627  1564    -1
 1632   901    -1
 1635   173    -1
 1639  1038    -1
 1641  1597    -1
 1645  1894    -1
 1647    99    -1
 1648   417    -1
 1649  1718    -1
 1650   384    -1
 1651  1684    -1
 1653  1474    -1
 1659  1072    -1
 1662  1537    -1
 1666  1712    -1
 1668    83    -1
 1670  1007    -1
 1671  1717    -1
 1673   786    -1
 1675  1481    -1
 1680   673    -1
 1682   402    -1
 1687  1035    -1
 1688  1840    -1
 1693    76    -1
 1695   593    -1
 1697   461    -1
 1702   529    -1
 1706  1204    -1
 1709  1223    -1
 1712   536    -1
 1713   531    -1
 1714   533    -1
 1715  1138    -1
 1716  1825    -1
 1722   181    -1
 1724   884    -1
 1729   870    -1
 1731   956    -1
 1736   494    -1
 1738   974    -1
 1749  1022    -1
 1750  1541    -1
 1761   694    -1
 1768   990    -1
 1769    75    -1
 1777  1635    -1
 1786   665    -1
 1796   742    -1
 1800    18    -1
 1806   911    -1
 1807    93    -1
 1813   229    -1
 1816   240    -1
 1822   348    -1
 1824   915    -1
 1826   835    -1
 1827   484    -1
 1836  1857    -1
 1840   537    -1
 1842   900    -1
 1843  1400    -1
 1844   383    -1
 1845   892    -1
 1846  1776    -1
 1848   963    -1
 1852   395    -1
 1856   239    -1
 1865  1809    -1
 1867  1483    -1
 1875  1440    -1
 1877  1786    -1
 1878  1156    -1
 1879  1225    -1
 1882  1683    -1
 1883  1181    -1
 1885  1391    -1
 1894   130    -1
 1896  1540    -1
 1901  1215    -1
 1916  1788    -1
 1917    48    -1
 1918  1006    -1
 1919   194    -1
 1920    21    -1
 1923   209    -1
 1927   172    -1
 1928   487    -1
 1932  1714    -1
 1935   431    -1
 1936  1114    -1
 1939   483    -1
 1942  1328    -1
 1955   583    -1
 1957  1227    -1
 1966  1698    -1
 1974    96    -1
 1976   823    -1
 1979   337    -1
 1983   585    -1
 1984  1211    -1
 1993   442    -1
 1994   158    -1
 1995    29    -1
 1997  1009    -1
