0.444 0.494
0.004 0.002
0.002 0.002
0.446 0.494
0.724 0.399 0.266 0.356
   ma    mb  gmab
    0   634   194
    1   605   658
    2   283   511
    3   831   559
    4   337   600
    5   929   398
    6   637   547
    7   461   424
    8   903   312
    9     5   594
   10     1   107
   11   876   374
   12   822   653
   13   118   673
   14   233   916
   15   465   801
   16   921   540
   17   632   525
   19   259   134
   20   885    47
   21    65    65
   22   143   143
   23   269   885
   24   925   925
   25   659   659
   26    40    40
   27    62   269
   28   317   317
   29   799   799
   30   260   260
   31   998   998
   32   825    62
   33   477   477
   34   823   823
   35   782   825
   36   292   292
   37   300   300
   38   291   782
   39    56    56
   40   756   756
   41   643   291
   42   702   702
   43   911   911
   44   347   643
   45   601   601
   46   366   347
   47   952   952
   48   150   150
   49   507   507
   50   110   729
   51   482   482
   52   641   214
   53   729   641
   54   603   110
   55   192   366
   56   774   774
   57    27   192
   58   523   567
   59   719     9
   60   778   778
   61   438   766
   62   672   603
   63   556   556
   64   132   132
   65   321   523
   66   456   456
   67    75   719
   68   739   672
   69   447   447
   70   783   783
   71   225   438
   72   839    88
   73   373   808
   75   520   470
   77   930    33
   78   242    49
   80   945   529
   82   476   443
   83   509   617
   85   983   509
   86   947   947
   87   677   910
   88    50   983
   89   767   677
   90   345   345
   92   241   241
   93    93   767
   95   688   688
   96   484   484
   97   620   620
   98   597   597
   99   263   263
  100   139   139
  101   310   310
  102   826   826
  103   941   941
  104   582   582
  105    58   637
  108   999   118
  109   246   903
  110   658   822
  111   312   876
  112   511   921
  113   398   632
  114   253     5
  115   547   233
  116   466   661
  117   901   465
  118   916   259
  119   374   206
  120   862   458
  121   673   682
  122   525   888
  123   691   149
  124    42   379
  125    31   703
  126   261   231
  127    64   108
  128    21   281
  129   496   768
  130    47   807
  132   303   692
  133   949   817
  134   680   189
  135   356   649
  136   400   346
  137     7   331
  138   713   209
  139    66   445
  143   657   739
  145   519   359
  146   848    39
  147   205    27
  148   669   321
  149   214    75
