0.014 0.014
0.001 0.004
0.004 0.004
0.004 0.014
0.856 0.012 0.006 0.041
   ma    mb  gmab
    0   636   660
    1   665   876
    2   587   919
    3   738   533
    4   298   852
    5   955   626
    6   738   226
    7   858   300
    8   738   457
    9   284   380
   10   284    10
   11   738   276
   12   284   298
   13   284   900
   14   284   284
   15   284     5
   16   265   140
   17   328   265
   18   328   661
   19   328    15
   20   328   172
   21   328   746
   22   328   904
   23   328   159
   24   328   920
   25   328   964
   26   328    97
   27   328   177
   28   328   792
   29   328   245
   30   328   145
   31   328   801
   32   328   975
   33   328   881
   34   937   137
   35   328    92
   36   328   570
   37   937   328
   38   937   564
   39   937   824
   40   948   816
   41   573   994
   42   948   933
   43   573   954
   44   948   737
   45   588   412
   46   573   292
   47   964   730
   48   814   242
   49   552   528
   50   552   967
   51   552   199
   52   552   240
   53   552   676
   54   552   510
   55   552   877
   56   552   936
   57   552   393
   58   552   233
   59   552   668
   60   552   462
   61   552   752
   62   103   724
   63   552   883
   64   103   299
   65   552   784
   66   103   180
   67   103   340
   68   103   463
   69   103   442
   70   103   522
   71   103   403
   72   103   424
   73   103   189
   74   103   501
   75   103   227
   76   103   758
   77   103   385
   78   578   946
   79   298   955
   80   578   769
   81   578   535
   82   103   418
   83   578   566
   84   868   278
   85   868   204
   86   868   811
   87   868   460
   88   868   665
   89   868   139
   90   868   384
   91   868   545
   92   868   874
   93   868   439
   94   868   620
   95   868   636
   96   868   860
   97   868   367
   98   868   729
   99   868   505
  100   868     4
  101   578   108
  102   868   216
  103   343   587
  104   405   666
  105   405   251
  106   405   345
  107   405   253
  108   405   945
  109   405   327
  110   405   378
  111    23   452
  112   405   239
  113    23   952
  114   405   321
  115   405   288
  116    23   156
  117    23   235
  118    23   736
  119    23   371
  120    23   823
  121    23   219
  122    23   677
  123    23   386
  124    23   184
  125    23   135
  126    23   192
  127   507   543
  128    23   282
  129   576   796
  130    23   349
  131   494   353
  132    23   526
  133   744   466
  134   744   612
  135    53   557
  136   744    11
  137    53   829
  138    53   309
  139    53   898
  140    53   332
  141    53   941
  142    53   263
  143    53   703
  144    53   338
  145    53   597
  146    53   160
  147    53   629
  148    53   430
  149    53    34
  150    53   992
  151    53   532
  152    53   496
  153    53   144
  154    53   525
  155    53   707
  156    53   894
  157   610   540
  158    53   174
  159    79    78
  160    53   751
  161   363   513
  162   610   747
  163   596   633
  164   363   539
  165   596   325
  166   596   562
  167   596   230
  168   596   563
  169   596   479
  170   596   596
  171   596   735
  172   596   991
  173   596   962
  174   596   480
  175   596   310
  176   596   798
  177   787   787
  178   596   781
  179   596   214
  180   787   690
  181   596   565
  182   787   759
  183   310   415
  184   787   197
  185   787   594
  186   787   383
  187   787   207
  188   787   408
  189   787   959
  190   787   638
  191   787   720
  192   596   228
  193   438   544
  194   438    91
  195   438   290
  196   438   277
  197   438   450
  198   438   438
  199   228   943
  200   438   296
  201   438   115
  202   438   651
  203   438   839
  204   438   766
  205   438   604
  206   438   628
  207   438   344
  208   174   511
  209   438   166
  210   438   126
  211   174   493
  212   174    29
  213   174   760
  214   174   774
  215   174   657
  216   174   165
  217   174   710
  218   174   188
  219   174   947
  220   188     9
  221   174   443
  222   188   266
  223   188   512
  224   188   686
  225   188   335
  226   188   692
  227   188   420
  228   188   425
  229   188   209
  230   188   274
  231   335   963
  232   335   595
  233   531   136
  234   531   942
  235   531   257
  236   531   631
  237   531   599
  238   531    73
  239   531   531
  240   531    81
  241   531   116
  242   531   351
  243   531   464
  244   531   392
  245   531   254
  246   143    75
  247   932   382
  248   932   582
  249   932   143
  250   143   297
  251   306    61
  252   932   903
  253   932   559
  254   932   326
  255   863   863
  256   655   687
  257   624   624
  258   655   482
  259   655   818
  260   655   655
  261   655   504
  262   655   133
  263   655    93
  264   655   592
  265   655   426
  266   655   932
  267   655   306
  268   655    96
  269   655   191
  270   655   350
  271   655   681
  272   863   281
  273   655   524
  274   655   731
  275   655   486
  276   655   836
  277   655   516
  278   655   431
  279   655   822
  280   133   649
  281   133   832
  282   133    95
  283   133   701
  284   191   889
  285   191   785
  286   191   733
  287   281   343
  288   411   684
  289   163   656
  290   411   161
  291   163   683
  292   411   914
  293   163   285
  294   163   138
  295   410   776
  296   163   698
  297   411   837
  298   163   960
  299   654   931
  300   654    68
  301   654    55
  302   654   848
  303   654   705
  304   451   162
  305   861   150
  306   861   358
  307   985   642
  308   861   580
  309    51   260
  310   750   181
  311   750   336
  312   273   971
  313   750     3
  314   985   246
  315   990   244
  316   273    24
  317   990   146
  318   990    26
  319   990    89
  320   273   422
  321   273    72
  322   273   261
  323   990   693
  324   273   458
  325   273   249
  326   273   454
  327   273   536
  328   273   589
  329   273   210
  330   273   923
  331   273   272
  332   273    70
  333   540   287
  334   533   342
  335   540    33
  336   533   696
  337    78   142
  338   533   195
  339   533   315
  340    78   324
  341   533   895
  342   533   667
  343   749   262
  344   533   879
  345    78   567
  346   533   577
  347    78   872
  348   533   428
  349   728   743
  350    78   573
  351    78   718
  352   749   700
  353    78   951
  354    78     6
  355   147   269
  356   749   984
  357   393   887
  358   393   902
  359   689   634
  360   689   568
  361   689   402
  362   393   817
  363   393   432
  364   393   541
  365   689   965
  366   393   871
  367   689   203
  368   689   179
  369   697   645
  370   393   313
  371   689   400
  372   393   996
  373   689   171
  374   689    48
  375   393   538
  376   689   926
  377   393   977
  378   393   588
  379   393   803
  380   393   497
  381   242   995
  382   576   800
  383   393   890
  384   292   552
  385   292   834
  386   292   411
  387   393   476
  388   292    27
  389   393   213
  390   240    86
  391   393   623
  392   292   407
  393   393   148
  394   967   578
  395   510   982
  396   363   671
  397   689    32
  398   363   739
  399   231   740
  400   513    58
  401   363   854
  402   363   101
  403   751   481
  404   363    99
  405   940    13
  406   101   989
  407   101   118
  408   865   314
  409   363   128
  410   671   882
  411   363   868
  412   101   809
  413   363   444
  414   671   867
  415   211   756
  416   363   935
  417   363   211
  418   363   788
  419   363   986
  420   363     8
  421   363   520
  422   363   980
  423   363   637
  424   363   163
  425   937   627
  426   363   167
  427   937   514
  428   363   231
  429   363   610
  430   363   307
  431   363   363
  432   363   330
  433   363   368
  434   363   928
  435   363   886
  436   363   909
  437   363   241
  438   937    42
  439   363   669
  440   363   178
  441   872   155
  442   872    53
  443   363   112
  444   749   396
  445   872   922
  446   577   966
  447   872   728
  448   872   576
  449   872   333
  450   872   494
  451   872    77
  452   872   347
  453   872   124
  454   749   586
  455   573   908
  456   872   713
  457   577   857
  458   743   120
  459   749   614
  460   749   416
  461   743   862
  462   743   170
  463   573   704
  464   667   802
  465   675   773
  466   315   252
  467   667    14
  468   749   918
  469   749   374
  470   743   927
  471   675    60
  472   675   780
  473    51   764
  474   749   602
  475   847   548
  476    51   530
  477   847   164
  478   847   376
  479   847   833
  480   847   618
  481   847    22
  482   847   715
  483   847   183
  484   847   517
  485   847   413
  486   847    12
  487   722   987
  488   847    87
  489   372   102
  490   722   256
  491   722   672
  492   722   361
  493   372   772
  494    52    21
  495   372   609
  496   372   521
  497   372   726
  498   722   286
  499   722   961
  500   722   893
  501   372   419
  502   372   617
  503   372   103
  504   372   613
  505   372   979
  506   385   243
  507   385   492
  508   372   658
  509   372   247
  510   385   819
  511   967   846
  512   967   891
  513   552   175
  514    79   625
  515   939   176
  516   385   447
  517    79   237
  518    27    45
  519    27   859
  520    27   154
  521    79     1
  522    27   132
  523    27   491
  524    27   381
  525   982   225
  526   982   105
  527   982   421
  528    79    41
  529   982   339
  530   982   523
  531   982   561
  532   982   616
  533   868   551
  534   982    40
  535   982   579
  536   982   477
  537   982    47
  538   982   459
  539   982   471
  540   982    59
  541   982   753
  542   982   470
  543   982   268
  544   807   838
  545   982   921
  546   868   223
  547   982   843
  548   982   897
  549   868   346
  550   807    43
  551   741   757
  552   741   473
  553   762   399
  554   762   359
  555   741   738
  556   499   173
  557   762   506
  558   762    46
  559   741    56
  560   762   786
  561   762     7
  562   762   294
  563   762   334
  564   762   956
  565   762   621
  566   762    18
  567   762   289
  568   705   777
  569   762    62
  570   762   490
  571   762   445
  572   181    49
  573   762   725
  574   181   312
  575   181   311
  576   181   121
  577   181   169
  578   181    20
  579   181   647
  580   181   888
  581   181    82
  582   181   600
  583   181   280
