0.002 0.002
0.001 0.001
0.001 0.001
0.002 0.002
0.953 0.002 0.001 0.006
   ma    mb  gmab
    0     7   590
    1   302   757
    2   759  1055
    3     3  1004
    4    17   235
    5   611   194
    6   175   711
    7   195   131
    8   840   931
    9   253   427
   10   989   848
   11   305   333
   12   632   737
   13   616    15
   14   757   996
   15   374   342
   16    82   978
   17   847   904
   18   962   202
   19  1049   759
   20   691   652
   21   105   504
   22   471   489
   23   888   587
   24   938   601
   25   375   751
   26    60   340
   27   702   672
   28   548   260
   29   940   760
   30   406   588
   31   882   142
   32   211   597
   33   390   422
   34    94   491
   35   945   212
   36   889   274
   37   316   722
   38   700   600
   39   344  1053
   40   763   468
   41    46   187
   42   380   241
   43   457    87
   44   904   810
   45   271   238
   46   964   973
   47   495  1064
   48    77   216
   49   426   629
   50   430    82
   51    10  1021
   52   287   232
   53   497   769
   54   239   264
   55   401   259
   56   127  1016
   57   822   159
   58   354   934
   59    58   327
   60   544   957
   61   229   718
   62   427   721
   63   775   554
   64    49   434
   65   185   928
   66   770   257
   67   895  1011
   68   103   255
   69   264   855
   70    57   679
   71   954   620
   72   235    76
   73   428  1063
   74   240   324
   75   171   310
   76    67   923
   77   237   932
   78   603   295
   79   353   300
   80   341   516
   81   906   754
   82  1026   433
   83  1030   766
   84   948   239
   85   875    95
   86   955   974
   87   671   997
   88   784   949
   89   952   663
   90   214   155
   91   756   307
   92   455   883
   93   335   572
   94  1055   540
   95    13    11
   96   515  1067
   97    66   222
   98   475   132
   99  1064  1050
  100   330   281
  101   377   536
  102   594   230
  103   764    55
  104  1025   704
  105   269   619
  106   395  1068
  107   342   357
  108   383   805
  109   496   975
  110   805   446
  111   148  1060
  112   573   861
  113   920  1066
  114   967   177
  115   795   595
  116   181   580
  117   466   265
  118   367   560
  119   752   441
  120   860    86
  121   931   452
  122   158   525
  123   572   403
  124  1047   480
  125  1012   646
  126   947   794
  127   721   514
  128   359   705
  129   104   389
  130   630   896
  131   464   165
