0.015 0.015
0.003 0.003
0.003 0.003
0.015 0.015
0.953 0.020 0.010 0.007
   ma    mb  gmab
    0   119   590
    1   542   757
    2   911  1055
    3   938  1004
    4   317   235
    5   463   194
    6   940   711
    7   714   131
    8   717   931
    9   836   427
   10   240   848
   11   151   333
   12   765   737
   13   637    15
   14    33   996
   15   342   342
   16   270   978
   17    67   904
   18   647   202
   19   343   759
   20    51   652
   21   109   504
   22   880   489
   23   446   587
   24    66   601
   25   997   751
   26   885   340
   27   296   672
   28    99   260
   29   326   760
   30   427   588
   31   795   142
   32   292   597
   33   508   422
   34   280   491
   35   738   212
   36    96   274
   37   318   722
   38   230   600
   39   440  1053
   40   493   468
   41   859   187
   42   642   241
   43   983    87
   44   756   810
   45   170   238
   46   597   973
   47   831  1064
   48   216   216
   49   691   629
   50   268    82
   51   828  1021
   52   737   232
   53   387   769
   54   176   264
   55   340   259
   56   524  1016
   57   900   159
   58   962   934
   59   305   327
   60    65   957
   61   243   718
   62   313   721
   63   611   554
   64   563   434
   65   306   928
   66  1000   257
   67   623  1011
   68   114   255
   69   685   855
   70   380   679
   71   359   620
   72   766    76
   73    12  1063
   74   501   324
   75   807   310
   76   147   923
   77  1062   932
   78   633   295
   79   740   300
   80   757   516
   81   839   754
   82   314   433
   83   553   766
   84   225   239
   85   998    95
   86    58   974
   87   574   997
   88   275   949
   89   678   663
   90   329   155
   91  1028   307
   92   140   883
   93  1032   572
   94   248   540
   95   749    11
   96   311  1067
   97   476   222
   98   339   132
   99   976  1050
  100   999   281
  101    45   536
  102   181   230
  103   431    55
  104   818   704
  105   599   619
  106   867  1068
  107   224   357
  108   573   805
  109   643   975
  110   452   446
  111   172  1060
  112   616   861
  113   921  1066
  114   408   177
  115   469   595
  116   472   580
  117   535   265
  118   494   560
  119  1005   441
  120    61    86
  121   287   452
  122   881   525
  123   474   403
  124    78   480
  125   512   646
  126   673   794
  127  1060   514
  128   331   705
  129   175   389
  130   913   896
  131   699   165
  132   692   425
  133  1022   756
  134    48    56
  135   201   917
  136   358   832
  137   909   819
  138    85    85
  139   778  1010
  140   728   992
  141   587   948
  142   604   545
  143   256   793
  144   726   742
  145   722   124
  146   670  1039
  147   244   116
  148   299   367
  149   735   784
  150   675   420
  151   834   286
  152    53   795
  153   851   579
  154   111   119
  155   696   317
  156   619   100
  157   624   477
  158   905  1035
  159   336   498
  160    19   512
  161   936     9
  162   381   275
  163   483   496
  164   276    16
  165   944   728
  166     9   412
  167   822    74
  168   931   818
  169   229   487
  170   861   308
  171   234    29
  172   950    47
  173   664   771
  174    68   566
  175    92   258
  176   797   378
  177   771   106
  178   683   402
  179   796   632
  180   561   607
  181   108   522
  182   210    65
  183   161   500
  184    62   117
  185   809   283
  186     4   836
  187  1065   878
  188   263    83
  189    71   676
  190   843    43
  191   875   665
  192   693   521
  193   435   981
  194   922   857
  195   832   299
  196   459   153
  197   466   900
  198   185   993
  199   711   603
  200   127   122
  201   760   633
  202   928   407
  203   207    26
  204   288    50
  205   165   604
  206   586   930
  207   792   852
  208   245   509
  209   817   207
  210    31    81
  211   951   661
  212   733   219
  213   348  1048
  214   125   523
  215    84   901
  216   162   674
  217   772   472
  218   138   786
  219  1017   685
  220   767   821
  221    55   190
  222   156  1000
  223   164   673
  224   601  1061
  225   972   823
  226   320   104
  227     7   337
  228   992    19
  229   995    91
  230   868   410
  231  1018   636
  232   436   419
  233   966   686
  234   860   621
  235   974    93
  236   179   320
  237   520   383
  238   827   796
  239   308   273
  240   401   394
  241  1003   709
  242   139   344
  243   744   404
  244    42    80
  245   102    84
  246   884   242
  247   104   803
  248   899   675
  249   356   228
  250   252   479
  251   392   851
  252   300   138
  253   396   550
  254   444   428
  255   787  1031
  256   658   658
  257   890   913
  258   844   608
  259  1021  1002
  260   113   103
  261   629    24
  262   491   999
  263  1055   415
  264   186   610
  265    56   998
  266   810   166
  267   937    96
  268   652   553
  269   588   323
  270   333   276
  271   233   972
  272   858   309
  273   621   251
  274   759   161
  275   703   175
  276   702   492
  277   777   655
  278   391    78
  279   952    68
  280   609   336
  281   548   876
  282   742   231
  283   349   507
  284   763   530
  285   840   246
  286   790   741
  287    79   499
  288   680   688
  289   554   373
  290   990  1046
  291   580    30
  292   319   214
  293   441   840
  294   835   169
  295   482   613
  296   697   970
  297   661   643
  298    13   208
  299  1066   361
  300   734   408
  301   552   968
  302   194   631
  303   982   137
  304   551  1017
  305   901   839
  306    40   411
  307   830   473
  308    82    70
  309   273   493
  310    21    48
  311   799   575
  312   191   865
  313   532   198
  314  1057   102
  315   682   971
  316   986   111
  317   945    46
  318   426   209
  319   149   945
  320   264   101
  321  1006   956
  322   262   849
  323   196   953
  324   579   816
  325   344   862
  326    14   282
  327   547   325
  328  1064   280
  329   718   483
  330   199   768
  331   688   533
  332   887   464
  333   628   701
  334   419   761
  335   405   405
