0.002 0.002
0.004 0.004
0.004 0.004
0.002 0.002
0.894 0.002 0.001 0.014
   ma    mb  gmab
    0   234   776
    1   947    97
    2    21   244
    3   908   476
    4   650   324
    5    98   597
    6   194   622
    7   630    98
    8   757   428
    9   236   640
   10   783   222
   11   703   694
   12   747   882
   13   500   963
   14   981   362
   15   541   113
   16    94   418
   17   176   974
   18   565   216
   19   432   845
   20   567   855
   21   287   666
   22   373   419
   23   149   451
   24   259   848
   25   740   614
   26   556   309
   27   714   252
   28   893   392
   29   527   664
   30   552   529
   31   126   973
   32   256   822
   33   477   278
   34   738     8
   35   426   778
   36   537   144
   37   249   365
   38   214   341
   39   903    29
   40   654   138
   41   798   841
   42   465   171
   43   326   989
   44   670   401
   45   735   238
   46   652   673
   47   422   202
   48   525   304
   49   569   400
   50    63   459
   51   933    53
   52   776    61
   53   722   819
   54   158   554
   55   135   835
   56   968   540
   57   899   173
   58   849   414
   59   346   251
   60   611   160
   61   626   469
   62    42   498
   63   599   957
   64   779    62
   65   170   623
   66   343   458
   67   760   650
   68   801   174
   69   511   508
   70   300   690
   71   445   606
   72    55   416
   73   897   854
   74   227   326
   75   345   193
   76   829   140
   77   321   292
   78   351   566
   79   916   581
   80   865   293
   81   443   313
   82    58   480
   83   131   947
   84   148   910
   85   489   868
   86   836   406
   87   969   424
   88   498   538
   89   452   892
   90   461   240
   91   723   735
   92   970    55
   93   352   492
   94   800   181
   95   121   542
   96   394   568
   97   872   164
   98    76   408
   99   676   608
  100   612   867
  101   182   649
  102   533   725
  103   594   786
  104    67   894
  105   286   599
  106   874   556
  107   972   415
  108   827   901
  109   162   604
  110   129   549
  111   634   798
  112   258   496
  113   334   695
  114   667   116
  115    62   550
  116   232    18
  117   211   287
  118   953   332
  119   106   316
  120   440   230
  121   430   916
  122   756   527
  123   655    51
  124   922   720
  125   904   699
  126   307   478
  127   314   809
  128   645   423
  129   202   389
  130   136   135
  131   255   403
  132   785   787
  133   354   456
  134   218   442
  135   105    59
  136     4    21
  137   378   689
  138   303   112
  139   762   905
  140   514   319
  141   544   357
  142   492    70
  143   882   208
  144   832   145
  145   582   713
  146   199   534
  147   545   764
  148   524   490
  149   625    52
  150    10   931
  151   584   153
  152   869   630
  153   694   779
  154   324   273
  155   546   134
  156   960     6
  157   648   815
  158   444   288
  159   977   915
  160   474   106
  161   350   653
  162   784    90
  163   185   672
  164   632   420
  165   855   739
  166   275   804
  167   680   333
  168   729   328
  169   485   824
  170   559   641
  171    53   902
  172   689   955
  173   157   857
  174    73   219
  175   360    67
  176   262   206
  177   553   283
  178   992   801
  179   496   977
  180   398   347
  181   208   169
  182   956   329
  183   205   187
  184    78   494
  185   995    92
  186   651   943
  187   863   317
  188   812   121
  189   166   310
  190   911    66
  191   252   715
  192    20   655
  193   761   965
  194   894   465
  195   251   325
  196   974   846
  197   109   551
  198   711   636
  199   705   409
  200   478   231
  201   766   711
  202   403   165
  203   261   958
  204   950    45
  205    48   207
  206   294   342
  207   732    44
  208   601   137
  209   857   509
  210   504   858
  211   325    42
  212   770   166
  213   333   363
  214   230   190
  215   724   493
  216   595   821
  217   898   595
  218   375   468
  219   660   211
  220     5   768
  221   100   639
  222    19   895
  223   854   320
  224   187   800
  225    59   528
  226   510   519
  227   242   177
  228   683   869
  229   583    32
  230    93   988
  231   925   192
  232   726   620
  233   961   983
  234   384   887
  235   861   959
  236   405   343
  237    65   225
  238   642   361
  239   201   446
  240   374   431
  241   823   670
  242   628   913
  243   476   195
  244   118    12
  245   889   366
  246   487   709
  247   169   517
  248   615   638
  249   284   311
  250   523    80
  251   873   267
  252   239   239
  253   551   661
  254   764   811
  255   153   183
  256   600   634
  257   589   851
  258   592   377
  259   377   314
  260    30   761
  261    86   752
  262   621    64
  263   536   448
  264     9   657
  265   581   176
  266   417   300
  267   822    54
  268   661   660
  269   837   952
  270   852   172
  271   907   718
  272   563   863
  273   731   119
  274   240   163
  275   188    15
  276   548   142
  277   807   749
  278   257    79
  279   998   124
  280   361    13
  281   744    58
  282   320   229
  283    52    77
  284   448   939
  285   241    85
  286   442   470
  287   802   948
  288   471   850
  289   843   455
  290   520   275
  291   493    43
  292   997   962
  293   929   874
  294   973   810
  295   624   817
  296   828   520
  297   773   139
  298    29   719
  299   167   840
  300   803     9
  301   414   933
  302    88   235
  303   359   438
  304   409   569
  305   616   161
  306   593   217
  307   441   618
  308   247   371
  309    97   938
  310   786   747
  311   682   308
  312   838   588
  313   128   335
  314   195   284
  315   697   896
