0.003 0.003
0.003 0.003
0.003 0.003
0.003 0.003
0.952 0.003 0.001 0.006
   ma    mb  gmab
    0   539   590
    1   302   757
    2   706  1055
    3   349  1004
    4   668   235
    5   761   194
    6   891   711
    7   653   131
    8   376   931
    9   547   427
   10   107   848
   11   967   333
   12   292   737
   13   779    15
   14   336   996
   15   641   342
   16   854   978
   17  1036   904
   18   568   202
   19  1049   759
   20   375   652
   21   520   504
   22   288   489
   23   391   587
   24   400   601
   25   712   751
   26   898   340
   27   230   672
   28   690   260
   29   506   760
   30   341   588
   31   495   142
   32   631   597
   33   298   422
   34   342   491
   35   225   212
   36   889   274
   37    57   722
   38   426   600
   39   654  1053
   40   986   468
   41   763   187
   42   206   241
   43    89    87
   44   392   810
   45   122   238
   46   237   973
   47   306  1064
   48    77   216
   49   172   629
   50   111    82
   51   556  1021
   52   287   232
   53   317   769
   54    81   264
   55   465   259
   56   351  1016
   57   732   159
   58   158   934
   59   867   327
   60   544   957
   61   726   718
   62   884   721
   63   549   554
   64   479   434
   65   953   928
   66   866   257
   67   895  1011
   68    84   255
   69   788   855
   70   574   679
   71   276   620
   72   644    76
   73   685  1063
   74   528   324
   75  1031   310
   76   166   923
   77   908   932
   78   404   295
   79   833   300
   80   345   516
   81   554   754
   82   968   433
   83    43   766
   84   350   239
   85   799    95
   86   226   974
   87    40   997
   88    54   949
   89  1026   663
   90   165   155
   91   879   307
   92   455   883
   93   335   572
   94  1034   540
   95   515    11
   96  1066  1067
   97   719   222
   98    45   132
   99   319  1050
  100   936   281
  101   272   536
  102   565   230
  103  1045    55
  104   784   704
  105   822   619
  106   293  1068
  107   240   357
  108   362   805
  109   751   975
  110   927   446
  111   148  1060
  112   649   861
  113   752  1066
  114   587   177
  115   492   595
  116   735   580
  117   584   265
  118   303   560
  119   650   441
  120   466    86
  121   929   452
  122   396   525
  123   273   403
  124   327   480
  125   510   646
  126   415   794
  127   702   514
  128   359   705
  129   263   389
  130   310   896
  131   181   165
  132   476   425
  133   768   756
  134   958    56
  135   579   917
  136    47   832
  137   905   819
  138   923    85
  139   505  1010
  140   728   992
  141   246   948
  142   278   545
  143   170   793
  144    92   742
  145   793   124
  146   705  1039
  147   585   116
  148    16   367
  149    68   784
  150   739   420
  151   413   286
  152   245   795
  153   959   579
  154   749   119
  155   845   317
  156   576   100
  157   437   477
  158    30  1035
  159   903   498
  160   781   512
  161   999     9
  162   256   275
  163   150   496
  164  1069    16
  165   914   728
  166   642   412
  167   632    74
  168   291   818
  169   411   487
  170   979   308
  171   826    29
  172   168    47
  173   414   771
  174   149   566
  175   682   258
  176  1001   378
  177   489   106
  178   766   402
  179  1030   632
  180   388   607
  181   192   522
  182   477    65
  183   228   500
  184   714   117
  185   897   283
  186   322   836
  187   530   878
  188  1015    83
  189   490   676
  190   194    43
  191   132   665
  192   846   521
  193   419   981
  194   462   857
  195   353   299
  196   464   153
  197    61   900
  198   618   993
  199   259   603
  200    80   122
  201    56   633
  202  1018   407
  203   882    26
  204   312    50
  205   839   604
  206   389   930
  207   566   852
  208   996   509
  209   687   207
  210   707    81
  211   837   661
  212   138   219
  213   507  1048
  214   261   523
  215   422   901
  216  1020   674
  217   454   472
  218    71   786
  219    34   685
  220   987   821
  221  1039   190
  222   770  1000
  223   730   673
  224   778  1061
  225   508   823
  226   386   104
  227   141   337
  228   777    19
  229    70    91
  230   557   410
  231   813   636
  232     1   419
  233   503   686
  234   517   621
  235  1060    93
  236   783   320
  237   205   383
  238   829   796
  239   360   273
  240   215   394
  241   608   709
  242   563   344
  243   625   404
  244   643    80
  245  1033    84
  246  1042   242
  247   925   803
  248   177   675
  249   343   228
  250   378   479
  251   589   851
  252   470   138
  253   196   550
  254   140   428
  255   831  1031
  256   658   658
  257   316   913
  258   636   608
  259   248  1002
  260   787   103
  261   483    24
  262   604   999
  263   918   415
  264   502   610
  265   284   998
  266    83   166
  267    94    96
  268   899   553
  269   841   323
  270   620   276
  271   159   972
  272   162   309
  273   144   251
  274    50   161
  275   998   175
  276   798   492
  277   337   655
  278   446    78
  279   669    68
  280   672   336
  281   118   876
  282    21   231
  283   600   507
  284   920   530
  285   941   246
  286    63   741
  287   913   499
  288   526   688
  289   815   373
  290   567  1046
  291   254    30
  292   623   214
  293    99   840
  294   499   169
  295   805   613
  296   786   970
  297  1067   643
  298   467   208
  299   832   361
  300   163   408
  301   842   968
  302   887   631
  303   212   137
  304   458  1017
  305   169   839
  306   497   411
  307   614   473
  308   289    70
  309   790   493
  310   154    48
  311   546   575
  312   267   865
  313    59   198
  314   448   102
  315   527   971
  316   950   111
  317   277    46
  318  1021   209
  319   976   945
  320   602   101
  321   244   956
  322   610   849
  323   708   953
  324   818   816
  325   174   862
  326   330   282
  327   251   325
  328   290   280
  329   459   483
  330   575   768
  331    55   533
  332   371   464
  333   268   701
  334   965   761
  335   720   405
  336     7   203
  337   401   807
  338   738   322
  339     9   808
  340   727  1054
  341     3   868
  342   796  1013
  343   521   426
  344   519   385
  345   612   167
  346   124    10
  347   487   622
  348   494   182
  349   431   484
  350   186   765
  351  1013   306
  352   615   380
  353   581   359
  354   178  1005
  355   229   829
  356   382   352
  357   531   897
  358   946   526
  359   773  1030
  360   591   976
  361    91   755
  362   901   201
  363   423   374
  364   598   946
  365   640   388
  366   731   692
  367    14   418
  368  1017   440
  369    85   110
  370   715   497
  371   674  1034
  372   406   303
  373   983    77
  374   994   461
  375  1061     3
  376   871   351
  377   243   939
  378   402   449
  379   552   233
  380  1005  1049
  381   538   134
  382   757   481
  383   848   806
  384  1055    51
  385   957   963
  386   235   630
  387   697   350
  388   774    21
  389   940   475
  390   863  1032
  391   594   678
  392   677    12
  393    24   853
  394   469   370
  395   398   301
  396   741   424
  397   698   225
  398   518   659
  399   633   195
  400  1004   734
  401   160   988
  402   710   624
  403   928   713
  404   130   664
  405   285   812
  406   545    14
  407   802   877
  408   236   421
  409   123   969
