0.001 0.001
0.002 0.001
0.001 0.001
0.001 0.001
0.037 0.000 0.001 0.013
   ma    mb  gmab
    0   219   565
    1   219   884
    2   219   109
    3   219   926
    4   219   172
    5   219   881
    6   219   391
    7   938   702
    8   938   481
    9   938   848
   10   938   612
   11   813   842
   12   938   973
   13   938   376
   14   938   679
   15   938   155
   16   938    92
   17   923   636
   18    52   173
   19    52   249
   20    52   574
   21   360   820
   22   568   979
   23   160   999
   24   160   838
   25   187   495
   26   550   952
   27     3   825
   28   490   390
   29   415   134
   30   964   754
   31   415   705
   32   415   741
   33   415   900
   34   849   928
   35   214    20
   36   796   907
   37   796   695
   38   463   840
   39   722    52
   40   722   899
   41   360   240
   42   966    93
   43   360    91
   44   360   752
   45   360   939
   46   923   483
   47   923    39
   48   560   315
   49   300   387
   50   964   526
   51   715   107
   52    68   724
   53   379   799
   54   938     7
   55   379   511
   56   938    14
   57   451   933
   58   321   132
   59   179   706
   60   729   467
   61   479   430
   62   479    23
   63   647   320
   64   219   620
   65   647   897
   66   647   564
   67   647   420
   68   164   978
   69   647   604
   70   519   455
   71   408    87
   72   519   805
   73   279   790
   74   248   407
   75   283   595
   76    52   366
   77    52   792
   78    52   379
   79    52   919
   80    52    68
   81   647   176
   82   647   747
   83   647   370
   84   451   492
   85   794   540
   86   360   552
   87   360   393
   88   792   157
   89   187   587
   90   187   991
   91   187   230
   92   415   544
   93   813   992
   94   214   338
   95   715   520
   96   214   334
   97   219   373
   98   881   657
   99   490   365
  100   408   912
  101   227   631
  102   227   453
  103   227   853
  104   227   924
  105   227   643
  106   187   349
  107   283   936
  108   283   207
  109   187   947
  110   648   677
  111   648   546
  112   200   322
  113   187   649
  114   187   313
  115   187   512
  116   187   735
  117   849   827
  118   187   458
  119   187   516
  120    75   809
  121   470     6
  122   470   797
  123   463   774
  124   470   381
  125   572   149
  126   530   830
  127   251   684
  128   964    62
  129   966    88
  130   972   882
  131   972   669
  132   972   266
  133   972   548
  134   360   337
  135    52   210
  136   956   363
  137   451   878
  138   956   287
  139   415   117
  140   629   138
  141   415   125
  142    87   818
  143    81    34
  144   379   902
  145   572   859
  146   379   200
  147   379   648
  148   972   197
  149   572   245
  150   111   508
  151   647   681
  152   647     8
  153   647   571
  154    78   921
  155   463   523
  156   615    89
  157   490   776
  158    52   224
  159   890   826
  160    52   425
  161   283   893
  162   283   456
  163    46   969
  164   767   299
  165   661   886
  166   283    32
  167    63   324
  168   283   757
  169   283   421
  170   283   743
  171   191   201
  172   191   568
  173   938   180
  174   938   223
  175   283   229
  176   938    19
  177   938   980
  178   813   434
  179   715    57
  180   813   851
  181   729   260
  182    98   831
  183   379   536
  184   367   341
  185   881   494
  186   938   768
  187   568   171
  188    45   974
  189    45   482
  190   105   729
  191   963   701
  192   105   867
  193   415   318
  194   647   722
  195    33   236
  196   972   660
  197    33   259
  198   328   917
  199   328   576
  200   328   592
  201   283   525
  202   283   621
  203   542   710
  204   369   228
  205   360   563
  206    52   113
  207    52   823
  208    52   361
  209    52   922
  210    52   258
  211    52   739
  212    52   934
  213    52   522
  214    52   985
  215    52   765
  216    52    78
  217   560   887
  218   690   994
  219   895   243
  220   938   524
  221   360   126
  222   360   803
  223   360   712
  224   794   237
  225   360   883
  226   794   152
  227   360   339
  228   360   689
  229   615   996
  230    77    81
  231   369   154
  232   214   429
  233   723   666
  234   384   759
  235   384   730
  236   770   378
  237   348   178
  238   770   274
  239   360   676
  240   214   932
  241   798   179
  242    98   321
  243   604   147
  244    98   913
  245   360   145
  246   360   533
  247   504   856
  248   214   578
  249   568   763
  250   568   683
  251   629   491
  252   283   941
  253   629   335
  254   693    94
  255   693   246
  256   294   889
  257   294   911
  258   517   995
  259    75   866
  260    52    46
  261    52   890
  262    52   283
  263    52   641
  264   964   191
  265   291   804
  266    81   265
  267   220   167
  268   220   151
  269   560   142
  270   560    63
  271   560   502
  272   375   484
  273   408   268
  274   283   614
  275   292   278
  276   283   262
  277   374   822
  278   923   596
  279   191   241
  280   415   534
  281   615   383
  282   219   244
  283   938    49
  284   938   993
  285   938   360
  286   938   966
  287   938   497
  288   938   618
  289   938   358
  290   360   312
  291   360   598
  292    88   314
  293   490     4
  294    77   286
  295   281   575
  296    77   937
  297   360   716
  298   360   144
  299   360   951
  300   343   480
  301   360   102
  302   360   658
  303   360   135
  304   360   500
  305   770   602
  306   462   124
  307   462   998
  308   462   531
  309   796   498
  310   509   129
  311   770   846
  312   770   625
  313   923   440
  314   647   626
  315   142   815
  316    34   146
  317    34   212
  318   919   466
  319   794   640
  320   415   435
  321   794   460
  322    64   233
  323    77   847
  324    77   929
  325    77   751
  326    77   601
  327    77   417
  328   453    82
  329   722   891
  330    77   242
  331   966   843
  332   360   761
  333   360   211
  334   360   461
  335   227   732
  336    52    72
  337   227    80
  338   227   395
  339   214   746
  340   759   630
  341   214   367
  342   966   786
  343    34   769
  344   315   865
  345   214   852
  346   214   959
  347   173   764
  348   463    51
  349   187   264
  350   214   616
  351   214     5
  352   214   861
  353    64   133
  354   214   925
  355    63   771
  356    90   916
  357   813   280
  358   994   619
  359   219   949
  360    66   489
  361   360   819
  362   360   762
  363   828   977
  364   629   196
  365   219   806
  366   629   392
  367   629   301
  368   283   116
  369   629   424
  370   629   352
  371   629   400
  372   214   545
  373   923   250
  374   214   744
  375   214   166
  376   214    16
  377   214   923
  378   214   284
  379   647   854
  380   647   463
  381   647   409
  382   647   462
  383   647   100
  384   647   208
  385   647    25
  386   647   788
  387   560    71
  388   647   396
  389   647   943
  390   957   685
  391   179   454
  392   511   814
  393    68   357
  394   408   161
  395   232   857
  396   408    33
  397   408   261
  398   408   829
  399   408    75
  400   408   554
  401   408   355
  402   408   767
  403   360   298
  404   360   976
  405   360   153
  406   360   501
  407   232   291
  408   232   656
  409   560   898
  410   227   432
  411   560   585
  412   560   873
  413   219    61
  414   219   219
  415   810   796
  416   219   374
  417   895   292
  418   534   638
  419   647   380
  420   997   970
  421   799   538
  422   966   307
  423   360   655
  424   966   518
  425   938   505
  426    70   816
  427   283   982
  428   283   226
  429   283   605
  430   770   608
  431   283   423
  432    52   914
  433   647    17
  434   360   209
  435   379   168
  436   972   960
  437   470   698
  438   470   437
  439   594   888
  440   490   633
  441   794   942
  442   794   399
  443   794   199
  444   794   403
  445   360   405
  446   522   824
  447   770   645
  448   722   205
  449   770   963
  450   462   872
  451   796   588
  452   796   885
  453   292   105
  454   796   169
  455   723    45
  456   142   509
  457   461   118
  458   461   325
  459   560   892
  460   560   348
  461   560   444
  462   560   231
  463   375   869
  464   375   257
  465   796   487
  466   728   277
  467   219   471
  468   966   850
  469   744    60
  470   517   170
  471   744   930
  472   111   834
  473   959   555
  474   647   128
  475   384   414
  476   384   137
  477   964   419
  478   384   114
  479   964   443
  480   490   855
  481   490   281
  482   384    64
  483   384     3
  484   384   490
  485   384   615
  486   187   485
  487   384   225
  488   629   309
  489   409    41
  490   770   115
  491   964   528
  492   219   174
  493   938   905
  494   938   707
  495   938   333
  496   232   833
  497   232   416
  498   232   736
  499   408   504
  500   283     0
  501   379   413
  502   379   957
  503   379   581
  504   792   652
  505    68   990
  506    52   220
  507    52   795
  508    52   560
  509    52   343
  510    52   375
  511    52   436
  512    52   909
  513    52   288
  514   490   967
  515   470   150
  516   722    69
  517   770    12
  518   744   354
  519   744   273
  520   744   874
  521   744   836
  522    98   433
  523    92   756
  524    45   515
  525    92   181
  526   486    65
  527   964   195
  528   813   159
  529   283   841
  530   690   845
  531   283   760
  532   283   590
  533   283   972
  534   468   136
  535   723   670
  536   792   863
  537   923   566
  538   690   839
  539   813   507
  540   250   131
  541   560   558
  542   490   120
  543   490    47
  544   490   110
  545   964    77
  546   470   642
  547   214   346
  548   214   239
  549   164   221
  550   214   709
  551   250   347
  552    75   404
  553   792   112
  554   328   165
  555   792   628
  556   214   802
  557   214   368
  558   794   104
  559   227   569
  560   882   915
  561   745   457
  562   379   961
  563   379   408
  564    68   519
  565   379   232
  566   882   119
  567   379   227
  568   594   427
  569   379    70
  570     7   394
  571   360   734
  572   923   297
  573   938   148
  574   938   997
  575   360   252
  576   360   537
  577   629   447
  578   360   680
  579   722   989
  580   722   532
  581   722   397
  582   722   350
  583   463   837
  584   463   248
  585   470   877
  586   200   584
  587   360   864
  588   379    35
  589   722   295
  590   292   582
  591   403   708
  592   292   671
  593   328   411
  594   328   353
  595   328   465
  596   415   213
  597   219   177
  598   957   828
  599   796   849
  600   522   673
  601   457   586
  602   629   302
  603   179   488
  604   957   561
  605    77   783
  606    77   415
  607    77   186
  608    77   187
  609    77   988
  610    77   506
  611    77    24
  612   187   717
  613   415   950
  614   187   667
  615   506   290
  616   283   235
  617   283   141
  618   283   470
  619   283   282
  620   283   345
  621   283   556
  622   283   987
  623   283     9
  624   569   108
  625   218    84
  626    80   749
  627   794   542
  628   964    73
  629   392   103
  630   560   812
  631   560   551
  632   560   662
  633   560     1
  634   723   748
  635   723   206
  636   723   351
  637   723   130
  638   723   306
  639   384   441
  640   384   543
  641   744   813
  642   384   927
  643   744   713
  644   744   938
  645   250   594
  646   744   263
  647   919   175
  648   292   371
  649   292   450
  650    90   955
  651   572   193
  652   934   477
  653   239    44
  654   923   293
  655   923   675
  656   923   401
  657   923   715
  658   923   964
  659   923   428
  660   923     2
  661   923   794
  662   923   300
  663   384   275
  664    77   577
  665   765   251
  666   957   330
  667   957   773
  668   938   162
  669   175   327
  670   517   600
  671   360    67
  672   812   935
  673   360   781
  674   187   946
  675   415   305
  676   187    66
  677   187   694
  678   187   945
  679   283   910
  680    77   627
  681    77   668
  682   722   904
  683   360   445
  684    52   725
  685   415   573
  686   470   256
  687   470   222
  688   647   766
  689   470    53
  690   470   954
  691    66   870
  692   938    11
  693    90   469
  694   214   406
  695   214   738
  696   214   810
  697   934   940
  698   934    48
  699   214   539
  700   292    95
  701    16   696
  702   232   758
  703   519    18
  704   519   372
  705   303   472
  706   519    74
  707   887    30
  708   315   654
  709   629   496
  710   328   742
  711   328   860
  712   792    43
  713   792   535
  714   792   603
  715   792   160
  716    12   737
  717   615   388
  718    12   664
  719   330   931
  720   690   723
  721   690   468
  722   615   316
  723   300   692
  724   615   127
  725   283   835
  726   283   572
  727   283   550
  728   283   875
  729   283   661
  730   283   609
  731   376   650
  732   376   690
  733   376   644
  734   629   697
  735   629    28
  736   629   384
  737   629   770
  738   629   202
  739   629   438
  740   938   975
  741   384    21
  742   722    36
  743   300   276
  744   219   476
  745   849   721
  746   849   844
  747   849   817
  748   281   821
  749   281   503
  750    81   637
  751   479   868
  752   479   699
  753   591   247
  754   479   800
  755    92   862
  756   964   782
  757   715   122
  758   964   410
  759   415   422
  760   369   194
  761   517   880
  762   938    99
  763   360   553
  764   938   156
  765   957   665
  766   292   801
  767   957   779
  768   581   678
  769   957   591
  770   200   948
  771    70   296
  772   219   700
  773   723   123
  774   214   807
  775   227   385
  776   794   623
  777   957   398
  778   957   369
  779   462    22
  780    16   562
  781   283   364
  782   283   255
  783   283    76
  784    34   659
  785    34   319
  786    34   956
  787    34   793
  788   200   791
  789   882   984
  790   594   158
  791   938   331
  792   219   517
  793   486   918
  794   517   635
  795   938   106
  796   647   901
  797    65   908
  798   530   329
  799   384    31
  800   300   906
  801   232   253
  802   938   772
  803   187   727
  804   187   962
  805   187   513
  806   723    10
  807   187   740
  808   200   530
  809   200   510
  810   200   583
  811    61   580
  812   111   653
  813   384   294
  814   374   326
  815   292    85
  816   292   342
  817   384   639
  818   214   775
  819   629   599
  820   189   811
  821   384   184
  822   384   323
  823   884   332
  824   360   442
  825   175    27
  826   938   611
  827   517   787
  828   796    58
  829   796   164
  830   292   214
  831    52   439
  832    52    90
  833    52   728
  834    52   448
  835   360   547
  836   360   527
  837   360   271
  838   384   216
  839   384   745
  840   770   234
  841   957   267
  842   360   192
  843    61   101
  844   328   356
  845   328    96
  846   328   475
  847   328   589
  848   328   624
  849    45   613
  850   722   610
  851   105   188
  852   462   965
  853   462   755
  854   463   567
  855   239   431
  856   415   879
  857   770    37
  858    33   272
  859   794    29
  860    33   606
  861   964   968
  862   794   753
  863   648   986
  864   964   731
  865   964   140
  866   964   691
  867   964   720
  868   964   808
  869   964   311
  870   964   426
  871   219   474
  872   715   386
  873   884   672
  874   175    55
  875   849   464
  876   959   686
  877   919    97
  878   105   190
  879   615   894
  880   723   493
  881   615   632
  882   415   218
  883   270   617
  884   517   217
  885   938   198
  886   938   693
  887   934   785
  888   938   629
  889   964   382
  890   964   418
  891   964    79
  892   964    86
  893   214    54
  894    98   541
  895   328   682
  896   328   412
  897   744   895
  898   770   183
  899   812   871
  900   292   549
  901    75   529
  902   292    13
  903   486   473
  904   374   726
  905   374   336
  906   374   521
  907   796   944
  908   629   189
  909   744   185
  910   292   182
  911   292   593
  912   214   478
  913    75   953
  914   214   328
  915   105    98
  916   283   971
  917   283   597
  918   111   703
  919    34   238
  920   843   499
  921   843   750
  922   283    50
  923   187   310
  924   214   711
  925   448   719
  926   214   981
  927   214   646
  928   214   514
  929   283   579
  930   812   389
  931   283   704
  932   812   402
  933   211   789
  934   211   674
  935   211   289
  936   461    56
  937   560    26
  938   989   784
  939   214    42
  940   214   634
  941   794   858
  942   794    83
  943   572   958
  944   923    59
  945    77   718
  946   187   451
  947   105   270
  948   517   688
  949   187   780
  950   415   798
  951   283   254
  952   175   459
  953   629   344
  954   376   778
  955   384   832
  956   849   362
  957   164   559
  958   214   570
  959   283   920
  960   283   733
  961   283   687
  962   360   303
  963   360   139
  964   360   215
  965   534   308
  966    81   279
  967   690   204
  968   219   203
  969   250   714
  970   796   557
  971   292   285
  972   374   486
  973   934   359
  974   300   607
